Doc Symbol	publicaion date	jobs	area	EN	AR
E/ESCWA/SDD/2018/PAMPHLET.1	01/30/2018			ESCWA APPROACH TO KEY SOCIAL GROUPS AND EMERGING ISSUES IN THE ARAB REGION	
E/ESCWA/SDD/2018/PAMPHLET.2	02/20/2018			OBSERVANCE OF THE ELEVENTH WORLD DAY OF SOCIAL JUSTICE “CELEBRATING EQUALITY AND JUSTICE IN THE WORK OF GIBRAN KHALIL GIBRAN” TUESDAY, 20 FEBRUARY 2018, UNITED NATIONS HOUSE, BEIRUT	
E/ESCWA/SDD/2017/TECHNICAL PAPER.16	01/24/2018				
E/ESCWA/ECW/2017/IG.1/7/REPORT	11/21/2017			REPORT : EIGHTH SESSION OF THE COMMITTEE ON WOMEN, BEIRUT, 4 - 5 OCTOBER 2017	
E/ESCWA/SDPD/2017/CP.6	03/22/2018			CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN MOROCCO : UN DEVELOPMENT ACCOUNT PROJECT ON PROMOTING  RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT	
E/ESCWA/ECW/2015/WG.4/REPORT	10/26/2015				
E/ESCWA/WOM/2004/IG.1/CP.3	07/05/2004				
E/ESCWA/WOM/2004/IG.1/CP.17	07/05/2004				
E/ESCWA/WOM/2004/IG.1/CP.18	07/05/2004				
E/ESCWA/ID/1999/WG.2/15	10/22/1999				
E/ESCWA/2017/EC.4/9/REPORT	01/24/2018			REPORT : FOURTH MEETING OF THE EXECUTIVE COMMITTEE, BEIRUT, 13 - 14 DECEMBER 2017	
E/ESCWA/SDD/2017/MANUAL.1	04/03/2018				
E/ESCWA/SDD/2017/MANUAL.2	04/03/2018				
E/ESCWA/SDD/2017/WG.7/REPORT	01/16/2018				
E/ESCWA/SDPD/2017/WG.19/REPORT	12/22/2017				
E/ESCWA/SD/2017/WG.4/REPORT	03/05/2018			REPORT : EXPERT GROUP MEETING ON RECORD LINKAGE STUDIES TO ASSESS COMPLETENESS OF DEATH REGISTRATION, BEIRUT, 21 - 22 DECEMBER 2017	
E/ESCWA/EDID/2017/IG.1/9/REPORT	01/11/2018			REPORT : EIGHTEENTH SESSION OF THE COMMITTEE ON TRANSPORT AND LOGISTICS, BEIRUT, 20-21 DECEMBER 2017 	
E/ESCWA/ECW/2017/TECHNICAL PAPER.8	01/05/2018				
E/ESCWA/EDID/2017/3	07/25/2017			TRANSPORT AND CONNECTIVITY TO GLOBAL VALUE CHAINS: ILLUSTRATIONS FROM THE ARAB REGION	
E/ESCWA/EDID/2017/IG.3/11/REPORT	01/02/2018			REPORT : ELEVENTH SESSION OF THE COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT (LIBERALIZATION OF FOREIGN TRADE), BEIRUT, 27-28 NOVEMBER 2017	
E/ESCWA/TDD/2017/2	04/02/2018			PERSPECTIVES ON THE DIGITAL ECONOMY IN THE ARAB REGION	
E/ESCWA/TDD/2017/IG.1/4	02/01/2017			INFORMATION AND COMMUNICATION TECHNOLOGY FOR DEVELOPMENT ISSUES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017	
E/ESCWA/TDD/2017/IG.1/3	02/01/2017			REVIEW OF ESCWA WORK IN THE FIELD OF TECHNOLOGY FOR DEVELOPMENT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017	
E/ESCWA/TDD/2017/IG.1/L.1	01/09/2017			PROVISIONAL AGENDA AND ANNOTATIONS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017 	
E/ESCWA/TDD/2017/IG.1/L.2	02/02/2017			ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017	
E/ESCWA/SD/2011/WG.1/3	08/28/2011				
E/ESCWA/SD/2011/WG.1/5	11/10/2011				
E/ECWA/ID/WG.4/1	10/01/1980			AGENDA	
E/ECWA/ID/WG.4/2	10/01/1980			AIDE MEMOIRE ON PROJECTS FOR REGIONAL CO-OPERATION IN CAPITAL GOODS AND HEAVY ENGINEERING INDUSTRIES	
