Doc Symbol,Title,publicaion date,subject,Lang available,Lang available
E/ESCWA/SDD/2018/PAMPHLET.1,ESCWA APPROACH TO KEY SOCIAL GROUPS AND EMERGING ISSUES IN THE ARAB REGION,01/30/2018,I1800001,EP,02/05/2018 13:01
E/ESCWA/SDD/2018/PAMPHLET.2,"OBSERVANCE OF THE ELEVENTH WORLD DAY OF SOCIAL JUSTICE “CELEBRATING EQUALITY AND JUSTICE IN THE WORK OF GIBRAN KHALIL GIBRAN” TUESDAY, 20 FEBRUARY 2018, UNITED NATIONS HOUSE, BEIRUT",02/20/2018,I1800031;I1800032,EP AP,02/21/2018 01:00:31 AM
E/ESCWA/SDD/2017/TECHNICAL PAPER.16,,01/24/2018,I1800042,AP,03/05/2018 18:00
E/ESCWA/ECW/2017/IG.1/7/REPORT,"REPORT : EIGHTH SESSION OF THE COMMITTEE ON WOMEN, BEIRUT, 4 - 5 OCTOBER 2017",11/21/2017,I1700708;I1700709,EP AP,03/05/2018 18:00
E/ESCWA/SDPD/2017/CP.6,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN MOROCCO : UN DEVELOPMENT ACCOUNT PROJECT ON PROMOTING  RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,03/22/2018,I1700728,EP,03/23/2018 01:00:26 AM
E/ESCWA/ECW/2015/WG.4/REPORT,,10/26/2015,I1500432,AP,03/24/2018 01:00:22 AM
E/ESCWA/WOM/2004/IG.1/CP.3,,07/05/2004,I0400293,FP,04/09/2018 10:03
E/ESCWA/WOM/2004/IG.1/CP.17,,07/05/2004,I0400317,FP,04/09/2018 10:03
E/ESCWA/WOM/2004/IG.1/CP.18,,07/05/2004,I0400318,FP,04/09/2018 10:03
E/ESCWA/ID/1999/WG.2/15,,10/22/1999,I9900998,AP,04/24/2018 02:25:06 PM
E/ESCWA/2017/EC.4/9/REPORT,"REPORT : FOURTH MEETING OF THE EXECUTIVE COMMITTEE, BEIRUT, 13 - 14 DECEMBER 2017",01/24/2018,I1800040;I1800041,EP AP,04/25/2018 01:00:48 AM
E/ESCWA/SDD/2017/MANUAL.1,,04/03/2018,I1700686,AP,04/25/2018 01:00:48 AM
E/ESCWA/SDD/2017/MANUAL.2,,04/03/2018,I1700685,AP,04/25/2018 01:00:48 AM
E/ESCWA/SDD/2017/WG.7/REPORT,,01/16/2018,I1800025,AP,04/25/2018 01:00:48 AM
E/ESCWA/SDPD/2017/WG.19/REPORT,,12/22/2017,I1700797,AP,04/25/2018 01:00:48 AM
E/ESCWA/SD/2017/WG.4/REPORT,"REPORT : EXPERT GROUP MEETING ON RECORD LINKAGE STUDIES TO ASSESS COMPLETENESS OF DEATH REGISTRATION, BEIRUT, 21 - 22 DECEMBER 2017",03/05/2018,I1800102,EP,04/25/2018 01:00:48 AM
E/ESCWA/EDID/2017/IG.1/9/REPORT,"REPORT : EIGHTEENTH SESSION OF THE COMMITTEE ON TRANSPORT AND LOGISTICS, BEIRUT, 20-21 DECEMBER 2017 ",01/11/2018,I1800021;I1800022,EP AP,04/25/2018 10:00:19 AM
E/ESCWA/ECW/2017/TECHNICAL PAPER.8,,01/05/2018,I1800012,AP,04/26/2018 01:00:50 AM
E/ESCWA/EDID/2017/3,TRANSPORT AND CONNECTIVITY TO GLOBAL VALUE CHAINS: ILLUSTRATIONS FROM THE ARAB REGION,07/25/2017,I1700579,EP,04/26/2018 01:00:50 AM
E/ESCWA/EDID/2017/IG.3/11/REPORT,"REPORT : ELEVENTH SESSION OF THE COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT (LIBERALIZATION OF FOREIGN TRADE), BEIRUT, 27-28 NOVEMBER 2017",01/02/2018,I1800051;I1800052,EP AP,04/26/2018 01:00:51 AM
E/ESCWA/TDD/2017/2,PERSPECTIVES ON THE DIGITAL ECONOMY IN THE ARAB REGION,04/02/2018,I1700675,EP,04/26/2018 01:00:51 AM
E/ESCWA/TDD/2017/IG.1/4,"INFORMATION AND COMMUNICATION TECHNOLOGY FOR DEVELOPMENT ISSUES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017",02/01/2017,I1700058;I1700059,EP AP,05/11/2018 12:21
E/ESCWA/TDD/2017/IG.1/3,"REVIEW OF ESCWA WORK IN THE FIELD OF TECHNOLOGY FOR DEVELOPMENT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017",02/01/2017,I1700057,EP,05/11/2018 12:21
E/ESCWA/TDD/2017/IG.1/L.1,"PROVISIONAL AGENDA AND ANNOTATIONS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017 ",01/09/2017,I1700013;I1700014,EP AP,05/11/2018 12:21
E/ESCWA/TDD/2017/IG.1/L.2,"ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), COMMITTEE ON TECHNOLOGY FOR DEVELOPMENT, FIRST SESSION, DUBAI, UNITED ARAB EMIRATES, 11 - 12 FEBRUARY 2017",02/02/2017,I1700064;I1700065,EP AP,05/11/2018 12:21
E/ESCWA/SD/2011/WG.1/3,,08/28/2011,I1100213,AP,05/16/2018 05:15:54 AM
E/ESCWA/SD/2011/WG.1/5,,11/10/2011,I1100287,AP,05/16/2018 05:15:54 AM
E/ECWA/ID/WG.4/1,AGENDA,10/01/1980,I8003446,,05/22/2018 03:01:26 PM
E/ECWA/ID/WG.4/2,AIDE MEMOIRE ON PROJECTS FOR REGIONAL CO-OPERATION IN CAPITAL GOODS AND HEAVY ENGINEERING INDUSTRIES,10/01/1980,I8003454,,05/22/2018 03:01:26 PM
E/ECWA/ID/WG.4/14,ESTABLISHMENT OF POWER CABLES MANUFACTURING INDUSTRY IN THE ECWA REGION : A TECHNO-ECONOMIC STUDY,12/01/1980,I8103604,,05/22/2018 03:01:26 PM
E/ECWA/ID/WG.4/3,THE VIABILITY OF ESTABLISHING A REGIONAL TELECOMMUNICATION INDUSTRY IN THE ECWA REGION. VOLUME I. BASIC ECONOMIC AND TECHNOLOGICAL CONSIDERATIONS,10/01/1980,I8003477,,05/22/2018 03:01:26 PM
E/ECWA/ID/WG.4/4,THE VIABILITY OF ESTABLISHING A REGIONAL TELECOMMUNICATION INDUSTRY IN THE ECWA REGION. VOLUME II. PREFEASIBILITY STUDY ON THE TELEPHONE EXCHANGE,10/01/1980,I8003478,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/5,ESTABLISHMENT OF TELEPHONE CABLES INDUSTRY IN ECWA REGION : A TECHNO-ECONOMIC STUDY,10/01/1980,I8003479,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/6,THE VIABILITY OF ESTABLISHING A REGIONAL ELECTRIC POWER EQUIPMENT INDUSTRY IN THE ECWA REGION. VOLUME I. BASIC ECONOMIC AND TECHNOLOGICAL CONSIDERATION,12/01/1980,I8003544,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/7,THE VIABILITY OF ESTABLISHING A REGIONAL ELECTRIC POWER EQUIPMENT INDUSTRY IN THE ECWA REGION. VOLUME II. PREFEASIBILITY STUDY ON TURBINES AND GENERATORS,12/01/1980,I8003545,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/8,THE VIABILITY OF ESTABLISHING A REGIONAL ELECTRIC POWER INDUSTRY IN THE ECWA REGION. VOLUME III. PREFEASIBILITY STUDY ON TRANSFORMERS,12/01/1980,I8003546,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/9,INDUSTRIAL CO-OPERATION,12/01/1980,I8003574,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/10,THE VIABILITY OF ESTABLISHING A REGIONAL TELECOMMUNICATION INDUSTRY IN THE ECWA REGION. VOLUME III. PREFEASIBILITY STUDY ON TELEPHONE INSTRUMENTS,12/01/1980,I8003576,,05/22/2018 03:01:27 PM
E/ECWA/ID/WG.4/12,PRELIMINARY STUDY ON THE VIABILITY OF MANUFACTURING OF CONSTRUCTION EQUIPMENT IN THE ECWA REGION,12/01/1980,I8003592,,05/22/2018 03:01:27 PM
E/ECWA/AGR/WG.12/2,"STATEMENT OF AIMS AND OBJECTIVES / BY THE JOINT ECWA/FAO AGRICULTURE DIVISION, ECWA, BEIRUT",05/07/1981,I8104489,,05/22/2018 03:01:27 PM
