Doc Symbol	publicaion date	Jobs	title	title _ar	subjects	Area	discard	Lang available	Security level	title	session 1	session 2	session 3	agenda 1	agenda 2	agenda 3
ESCWA/EDID/2018/1	11/16/2018	I1800395	SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2017-2018		T0000681;T0004296;T0004268;T0000667;T0005529	UNDOC		EP	2	SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2017-2018						
ESCWA/EDID/2018/1/SUMMARY	07/04/2018	I1800146	SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2017-2018 : SUMMARY		T0000681;T0004296;T0004268;T0000667;T0005529	UNDOC		EP AP	2	SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2017-2018 : SUMMARY						
ESCWA/OES/2003/CRP.6	07/08/2003	I0300565	REBUILDING IRAQ: STRATEGIES OF DEVELOPMENT UNDER CRISES CONDITIONS		T0005749;T0000732;T0003722;T0010221;T0001429;T0009686;T0005532;T0007920;T0005547	INFORMALPAPERS		EP	3	REBUILDING IRAQ: STRATEGIES OF DEVELOPMENT UNDER CRISES CONDITIONS						
ESCWA/OES/2003/CRP.7	07/09/2003	I0300569	IDENTIFYING THE MAIN ECONOMIC AND RECONSTRUCTION ISSUES IN IRAQ		T0005928;T0005749;T0000732;T0005532;T0007920;T0005547	INFORMALPAPERS		EP	3	IDENTIFYING THE MAIN ECONOMIC AND RECONSTRUCTION ISSUES IN IRAQ						
ESCWA/POP/2002/1	07/01/2003	I0100275	POPULATION POLICIES INOFRMATION SYSTEM FOR THE ARAB COUNTRIES: MONITORING GOALS AND TARGETS		T0004800;T0002842;T0005529;T0005547	UNDOC		EP AP	2	POPULATION POLICIES INOFRMATION SYSTEM FOR THE ARAB COUNTRIES: MONITORING GOALS AND TARGETS						
ESCWA/POP/2002/1(A)	06/01/2002	I0100275	INFORMATION SYSTEMS AND POPULATION POLICIES IN THE ARAB COUNTRIES.		T0004800;T0002842;T0005529;T0005529	UNDOC		AP	2	INFORMATION SYSTEMS AND POPULATION POLICIES IN THE ARAB COUNTRIES.						
ESCWA/SDD/2003/BOOKLET.1	08/01/2003	I0300543			T0002842;T0002841;T0010166;T0005529;T0005547	UNDOC		AP	2							
ESCWA/SD/1999/4	08/26/1999	I0000059	SOCIAL IMPACT OF RESTRUCTURING WITH SPECIAL REFERENCE TO EMPLOYMENT		T0001818;T0006429;T0003537;T0003677;T0009633;T0000648;T0010311;T0004274;T0005991	UNDOC		AP	2	SOCIAL IMPACT OF RESTRUCTURING WITH SPECIAL REFERENCE TO EMPLOYMENT						
ESCWA/TRANS/1996/1/CORR.1	07/09/1997	I9700450			T0002311;T0002550;T0005547	UNDOC		AP	2							
E/ESCWAICTD/2003/13	05/01/2003	I0300814			T0006386;T0002519;T0013306;T0010394;T0010347;T0005529;T0005368;T0005536;T0005709;T0000718	UNDOC		AP	2							
E/ESCWA/13/10	02/16/1986	I8600256	COOPERATION AMONG DEVELOPING COUNTRIES AND REGIONAL ORGANIZATIONS: NOTE BY THE EXECUTIVE SECRETARY		T0007920;T0005547;T0000183;T0000757	UNDOC		EP AP	2	COOPERATION AMONG DEVELOPING COUNTRIES AND REGIONAL ORGANIZATIONS: NOTE BY THE EXECUTIVE SECRETARY	13			11		
E/ESCWA/13/11	02/23/1986	I8600511	POLICY ISSUES AFFECTING OPERATIONAL ACTIVITIES OF THE UNITED NATIONS SYSTEM FOR DEVELOPMENT 1986 TRIENNIAL REVIEW: NOTE BY THE EXECUITVE SECRETARY		T0007920;T0005547;T0006035;T0000331;T0003712;T0002861;T0006051;T0000718	UNDOC		EP AP	2	POLICY ISSUES AFFECTING OPERATIONAL ACTIVITIES OF THE UNITED NATIONS SYSTEM FOR DEVELOPMENT 1986 TRIENNIAL REVIEW: NOTE BY THE EXECUITVE SECRETARY	13			11		
E/ESCWA/13/12	02/25/1986	I8600236	SPECIAL SESSION OF THE GENERAL ASSEMBLY CONCERNING THE CRITICAL ECONOMIC SITUATION IN AFRICA, 27-31 MAY 1986, NOTE BY THE EXECUTIVE SECRETARY 		T0007920;T0005547;T0005325;T0000667	UNDOC		EP AP	2	SPECIAL SESSION OF THE GENERAL ASSEMBLY CONCERNING THE CRITICAL ECONOMIC SITUATION IN AFRICA, 27-31 MAY 1986, NOTE BY THE EXECUTIVE SECRETARY 	13			13		
E/ESCWA/13/13	04/17/1986	I8600536	PERMANENT HEADQUARTERS OF THE ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, NOTE BY THE EXECUTIVE SECRETARY		T0007920;T0005547	UNDOC		EP AP	6	PERMANENT HEADQUARTERS OF THE ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, NOTE BY THE EXECUTIVE SECRETARY	13			14		
E/ESCWA/13/14	04/17/1986	I8600510	AMENDMENT OF THE RULES OF PROCEDURE OF THE ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, NOTE BY THE EXECUTIVE SECRETARY		T0005987;T0005547;T0007920	UNDOC		EP AP	2	AMENDMENT OF THE RULES OF PROCEDURE OF THE ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, NOTE BY THE EXECUTIVE SECRETARY	13			14		
E/ESCWA/13/16/REV.1	04/23/1986	I8600631	REPORT OF THE TECHNICAL COMMITTEE ON THE WORK OF ITS FOURTH SESSION		T0005915;T0006000;T0005963;T0006124;T0006051;T0005547	UNDOC		EP AP	2	REPORT OF THE TECHNICAL COMMITTEE ON THE WORK OF ITS FOURTH SESSION	4					
E/ESCWA/13/17	04/30/1986	I8600614	REPORT ON THE THIRTEENTH SESSION 19-24 APRIL 1986		T0006038;T0006051;T0005999;T0006000;T0006124	UNDOC		EP FP AP	2	REPORT ON THE THIRTEENTH SESSION 19-24 APRIL 1986	13					
